ID	ID2	Pair	Clonality	Frac	Hits_nu	Nu_coverage	Length	Locality
AC020NC	AC020NC_L1	2298443	0.07729469	0.000184400	191	0.0000	25.7801	NA
AC021NC	AC021NC_L1	2130798	0.05213270	0.000197014	200	0.0000	27.0750	NA
AC027NC	AC027NC_L1	357977	0.083333333	0.000093744	11	4.52E_07	26.45454545	NA
AC028NC	AC028NC_L1	401428	0	0.000062527	9	4.79E_07	34.22222222	NA
AC030NC	AC030NC_L1	211689	0	0.000073435	2	8.70E_08	28	NA
COD332	COD332_L1	18399380	0.058307484	0.005281886	97145	0.011184279	74.10023161	Oslo_Brann_1
COD333	COD333_L1	14217516	0.08989834	0.139629352	2020635	0.2378	75.7429	Oslo_Brann_1
COD334	COD334_L1	9446376	0.08959129	0.112033127	1092932	0.1093	64.3869	Oslo_Brann_1
COD335	COD335_L1	3794505	0.067201505	0.021390036	84297	0.010519678	80.31975041	Oslo_Brann_1
COD336	COD336_L1	8237242	0.072709298	0.002369647	20635	0.002823173	88.05723286	Oslo_Brann_1
COD338	COD338_L1	17126904	0.053607355	0.157581119	2505831	0.254923483	65.47719818	Oslo_Brann_1
COD339	COD339_L1	21885011	0.06438215	0.007810720	171655	0.015673893	58.76956104	Oslo_Brann_1
COD341	COD341_L1	16262901	0.057821667	0.119172692	1904198	0.20934487	70.75909018	Oslo_Brann_1
COD342	COD342_L1	12522395	0.058147376	0.231654814	2680457	0.310000517	74.43644013	Oslo_Brann_1
COD343	COD343_L1	21475933	0.11195607	0.009787202	244998	0.0363	95.4237	Oslo_Brann_2
COD348	COD348_L1	13670438	0.07566501	0.000701852	9834	0.0009	57.2522	Oslo_Brann_2
COD356	COD356_L1	31774013	0.10160130	0.368893757	12454238	1.2367	63.9113	Oslo_Brann_2
COD358	COD358_L1	19703535	0.08997038	0.357573424	7031474	0.6788	62.1354	Oslo_Brann_2
COD365	COD365_L1	21553454	0.09347627	0.055876746	1438034	0.1428	63.9222	Oslo_Brann_2
COD367	COD367_L1	26353843	0.13319287	0.195714081	5884237	0.6488	70.9633	Oslo_Brann_2
COD372	COD372_L1	13395595	0.061029991	0.014410538	197933	0.023761364	77.26542315	Oslo_Brann_3
COD377	COD377_L1	20830734	0.065001374	0.003872810	81674	0.007080403	55.79639787	Oslo_Brann_3
COD379	COD379_L1	21133030	0.09750684	0.000465523	12199	0.0014	76.0034	Oslo_Brann_3
COD383	COD383_L1	18147021	0.13471227	0.010793255	240794	0.0248	66.2928	Oslo_Brann_3
COD389	COD389_L1	15260379	0.06713166	0.009293348	128664	0.01170509	58.55307623	Oslo_Brann_3
COD391	COD391_L1	21585918	0.11311835	0.110709899	2705546	0.3237	76.9939	Oslo_Brann_3
COD394	COD394_L1	23106018	0.10714169	0.026297867	820610	0.0992	77.7700	Oslo_Brann_3
COD395	COD395_L1	21949934	0.062261587	0.132365199	2825795	0.325691432	74.1818575	Oslo_Brann_3
COD396	COD396_L2	7414520	0.038356164	0.000043061	351	2.11E_05	38.75783476	Oslo_Brann_4
COD398	COD398_L1	11955203	0.09595070	0.001128632	17459	0.0031	113.1351	Oslo_Brann_4
COD405	COD405_L1	24715661	0.06269947	0.206002879	5141548	0.47905388	59.96840387	Oslo_Brann_4
COD420	COD420_L1	7741305	0.09647739	0.000382844	3437	0.0005	91.1449	Oslo_Brann_4
COD421	COD421_L1	23810273	0.061947236	0.002043230	49744	0.006438178	83.30178514	Oslo_Brann_4
COD422	COD422_L1	21469737	0.062686567	0.000042200	942	9.52E_05	65.01167728	Oslo_Brann_4
COD423	COD423_L1	15783235	0.08654373	0.000253360	5003	0.0005	67.2473	Oslo_Brann_4
COD427	COD427_L1	20971794	0.060672515	0.000124283	2570	0.000157219	39.37354086	Oslo_Brann_4
COD408	COD408_L1	23148486	0.09300196	0.002629726	61421	0.0060	62.7578	Oslo_Brann_5
COD410	COD410_L1	18439909	0.063032368	0.000029224	550	2.59E_05	30.31454545	Oslo_Brann_5
COD412	COD412_L1	6865019	0.052631579	0.000016269	108	5.60E_06	33.38888889	Oslo_Brann_5
COD413	COD413_L1	8372381	0.067137605	0.054232336	452428	0.050101791	71.27476637	Oslo_Brann_5
COD415	COD415_L2	6479907	0.054268293	0.000231446	1551	0.000142934	59.31399097	Oslo_Brann_5
COD411	COD411_L1	20211425	0.061676358	0.239838830	4869743	0.590768262	78.08059891	Oslo_Brann_6
COD414	COD414_L1	26431880	0.0660656	0.042694792	1125362	0.124497341	71.20325549	Oslo_Brann_6
COD409	COD409_L2	9252697	0.062605604	0.029437467	276836	0.03367367	78.28884972	Oslo_Brann_7
COD416	COD416_L2	7701534	0.077014218	0.000101661	779	7.58E_05	62.60462131	Oslo_Brann_7
COD417	COD417_L1	19510049	0.087732919	0.000056964	1175	0.000183048	100.267234	Oslo_Brann_7
COD418	COD418_L1	29014774	0.067069963	0.000117457	3547	0.000322987	58.60783761	Oslo_Brann_7
COD406	COD406_L1	4404221	0.058252427	0.000019250	97	7.73E_06	51.30927835	Oslo_Brann_8
COD407	COD407_L1	10930821	0.065921788	0.000077472	836	4.59E_05	35.35645933	Oslo_Brann_8
