aDNA_ID	Old_ID	Bone	Element	Layer	Layer2	Age	Size	Size2	d13C	d15N	Mean.Hydrogen.Content	Meand2HV-SMOW.corrected	Mean.Sulfur.Content	Meand34SV-corrected	C.N_ratio	C.S_ratio	N.S_ratio	LG01	LG02	LG07	LG12	LofotenSkrei	LofotenCoastal	NorthSea	Oresund	IrishSea	Iceland	IcFrontal	IcCoastal	WestCoast	northcentral	northernmost	population.assigment	ncno
COD332	2519	Vertebrae	Postcranial	Brann_1	A	1000-1175	80-100cm	2	-13.31	15.48	5.50909756751076	12.4503372599676	0.63	13.74	3.16	172.082339188713	54.474722297808	AA	AA	BB	BB	2.25459969138328E-10	0.00173489079870636	0.0748784661379677	0.246353288809249	0.660920174232966	0.00002671924516558	1.15972640029299E-07	0.0000266032725255507	0.016086460550486	0.999973280529375	0.0000267194706255491	IS	nc
COD333	2520	Vertebrae	Postcranial	Brann_1	A	1000-1175	80-100cm	2	-14.35	13.65	6.12399615551178	6.2748341712422	0.67	14.2	3.16	167.067491608624	52.9028788628287	BB	BB	AA	AA	0.745094335725341	0.0000466032793457913	3.26197626827444E-08	1.69391866918418E-08	1.07319275756186E-15	0.254839102135351	0.236532601233706	0.0183065009016454	0.0000199093010115442	0.0000665621393077832	0.999933437860692	NEA	no
COD334	2521	Vertebrae	Postcranial	Brann_1	A	1000-1175	>100cm	3	-12.68	15.05	5.82656268300627	27.8139512706662	0.74	17.3423809855368	3.22	159.217438558559	49.4486045817246	AA	AA	BB	AB	4.23711904263959E-08	0.0382600145519564	0.43833533254236	0.188970278290562	0.190795989931383	0.00104011705102148	8.45112036378254E-06	0.0010316659306577	0.142598225261527	0.998959840577788	0.00104015942221191	NS	nc
COD335	2522	Vertebrae	Postcranial	Brann_1	A	1000-1175	>100cm	3	-13.87	14.32	5.77708657959372	-1.97644580742268	0.75	14.11	3.24	152.634130014815	47.1652964571428	AB	BB	AA	AB	0.157652478984164	0.01092389728235	0.0000542860330590431	0.000215136582537521	1.00979345005876E-10	0.82522156002359	0.528010863387332	0.297210696636258	0.00593264099331981	0.0171259609922457	0.982874039007754	IC	no
COD336	2523	Vertebrae	Postcranial	Brann_1	A	1000-1175	80-100cm	2	-14.36	13.73	5.96052952233999	12.5177869128018	0.8565665674947	13.22	3.23	128.280305625338	39.7424688133753	BB	BB	AA	AA	0.745094335725341	0.0000466032793457913	3.26197626827444E-08	1.69391866918418E-08	1.07319275756186E-15	0.254839102135351	0.236532601233706	0.0183065009016454	0.0000199093010115442	0.0000665621393077832	0.999933437860692	NEA	no
COD337	2524	Vertebrae	Postcranial	Brann_1	A	1000-1175	80-100cm	2	-14.47	13.64	6.01672173423495	8.08527860554882	0.8	14.19	3.16	140.003084777778	44.3517759047619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COD338	2525	Vertebrae	Postcranial	Brann_1	A	1000-1175	80-100cm	2	-13.55	14.34	5.42943549071888	15.7043408800341	0.64	16.22	3.12	182.039376111111	58.3309622619048	AB	BB	AA	AA	0.37069854057185	0.00301418180951384	3.97609265152696E-06	2.06475370110231E-06	3.64730122807872E-13	0.625623244883061	0.48141592330097	0.144207321582092	0.000657991888857207	0.0036782145450884	0.996321785454912	IC	no
COD339	2526	Vertebrae	Postcranial	Brann_1	A	1000-1175	80-100cm	2	-12.19	14.05	5.52308936365335	24.9987348486631	0.64	15.05	3.17	180.867344027778	57.1194478571428	AA	AA	AB	AA	0.0000917872546743645	0.337904628643823	0.323192048873634	0.0251611320447741	0.000297416913103246	0.0831298156331133	0.00333169258929895	0.0797981230438144	0.230223170636879	0.916778397112212	0.0832216028877877	NC_NS	nc
COD340	2527	Vertebrae	Postcranial	Brann_1	A	1000-1175	>100cm	3	-13.79	15.67	5.47999613640609	23.4205142137	0.95	15.27	3.2	114.078019836257	35.6123917794486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COD341	2528	Vertebrae	Postcranial	Brann_1	A	1000-1175	80-100cm	2	-14.61	14.35	5.66487636407065	3.44756026990603	0.92	14.92	3.26	122.01421826087	37.4136964803313	AB	BB	AA	AA	0.37069854057185	0.00301418180951384	3.97609265152696E-06	2.06475370110231E-06	3.64730122807872E-13	0.625623244883061	0.48141592330097	0.144207321582092	0.000657991888857207	0.0036782145450884	0.996321785454912	IC	no
