Locality	Sample	probability	type
Oslo_Mindets_tomt	COD082	0	Lofoten.Skrei
Oslo_Mindets_tomt	COD086	0	Lofoten.Skrei
Oslo_Mindets_tomt	COD092	0.999939933644774	Lofoten.Skrei
Oslo_Mindets_tomt	COD084	0.000136391591354571	Lofoten.Skrei
Oslo_Mindets_tomt	COD089	0.514165114070183	Lofoten.Skrei
Oslo_Mindets_tomt	COD091	0.816480917905083	Lofoten.Skrei
Oslo_Brann_1	COD332	0	Lofoten.Skrei
Oslo_Brann_1	COD333	0.999939933644774	Lofoten.Skrei
Oslo_Brann_1	COD334	0	Lofoten.Skrei
Oslo_Brann_1	COD335	0	Lofoten.Skrei
Oslo_Brann_1	COD336	0.999939933644774	Lofoten.Skrei
Oslo_Brann_1	COD338	0.992251414201259	Lofoten.Skrei
Oslo_Brann_1	COD339	0.000136391591354571	Lofoten.Skrei
Oslo_Brann_1	COD341	0.992251414201259	Lofoten.Skrei
Oslo_Brann_1	COD342	0	Lofoten.Skrei
Oslo_Brann_2	COD343	2.26135349701415E-06	Lofoten.Skrei
Oslo_Brann_2	COD348	0	Lofoten.Skrei
Oslo_Brann_2	COD356	0.000136391591354571	Lofoten.Skrei
Oslo_Brann_2	COD358	0.999939933644774	Lofoten.Skrei
Oslo_Brann_2	COD365	0.992251414201259	Lofoten.Skrei
Oslo_Brann_2	COD367	0	Lofoten.Skrei
Oslo_Brann_3	COD372	0.514165114070183	Lofoten.Skrei
Oslo_Brann_3	COD377	0	Lofoten.Skrei
Oslo_Brann_3	COD379	0.0354648005552664	Lofoten.Skrei
Oslo_Brann_3	COD383	0	Lofoten.Skrei
Oslo_Brann_3	COD389	0	Lofoten.Skrei
Oslo_Brann_3	COD391	0.999939933644774	Lofoten.Skrei
Oslo_Brann_3	COD394	0.287980940073634	Lofoten.Skrei
Oslo_Brann_3	COD395	0.999939933644774	Lofoten.Skrei
Oslo_Brann_4	COD396	NA	Lofoten.Skrei
Oslo_Brann_4	COD398	0.000136391591354571	Lofoten.Skrei
Oslo_Brann_4	COD405	0.000136391591354571	Lofoten.Skrei
